Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Hampi_Navy_Blue_Shirt_2.jpg?v=1763043582&width=1200,1,Hampi Linen Shirt - Navy Blue,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiNavyBlueShirt.jpg?v=1763043468&width=1200,2,Hampi Linen Shirt - Navy Blue,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiNavyBlueShirt2.jpg?v=1763043467&width=1200,3,Hampi Linen Shirt - Navy Blue,,,,,,,,
hampi-linen-shirt,,,,,,,,Colour,Pink,,,,,KQ-hampi-linen-shirt-pink,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Hampi_Pink_Shirt.jpg?v=1763043582&width=1200,g,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Hampi_Pink_Shirt.jpg?v=1763043582&width=1200,4,Hampi Linen Shirt - Pink,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiPinkShirt.jpg?v=1763043466&width=1200,5,Hampi Linen Shirt - Pink,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiPinkShirt2.jpg?v=1763043467&width=1200,6,Hampi Linen Shirt - Pink,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiPinkShirt3.jpg?v=1763043466&width=1200,7,Hampi Linen Shirt - Pink,,,,,,,,
hampi-linen-shirt,,,,,,,,Colour,Denim Blue,,,,,KQ-hampi-linen-shirt-denim-blue,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Hampi_Denim_Blue_Shirt_3.jpg?v=1763043582&width=1200,g,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Hampi_Denim_Blue_Shirt_3.jpg?v=1763043582&width=1200,8,Hampi Linen Shirt - Denim Blue,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiDenimBlueShirt3.jpg?v=1763043582&width=1200,9,Hampi Linen Shirt - Denim Blue,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiDenimBlueShirt2.jpg?v=1763043582&width=1200,10,Hampi Linen Shirt - Denim Blue,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiDenimBlueShirt.jpg?v=1763043466&width=1200,11,Hampi Linen Shirt - Denim Blue,,,,,,,,
hampi-linen-shirt,,,,,,,,Colour,White,,,,,KQ-hampi-linen-shirt-white,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Hampi_White_Shirt_2.jpg?v=1763043582&width=1200,g,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Hampi_White_Shirt_2.jpg?v=1763043582&width=1200,12,Hampi Linen Shirt - White,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiWhiteShirt.jpg?v=1763043467&width=1200,13,Hampi Linen Shirt - White,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiWhiteShirt2.jpg?v=1763043467&width=1200,14,Hampi Linen Shirt - White,,,,,,,,
hampi-linen-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/HampiWhiteShirt3.jpg?v=1763043466&width=1200,15,Hampi Linen Shirt - White,,,,,,,,
jungle-print-shirt,Jungle Print Shirt,"<p>A bold new shirt in deep indigo cotton, hand-printed with an Indian jungle motif of palms, foliage and birds. A large, loose, easy fit &mdash; made to be lived in, layered and loved.</p><ul><li>Material: 100% Cotton</li><li>Origin: Hand-printed in India</li><li>Sizing: Large loose fit</li><li>Care: Machine wash at 30&deg;C. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Shirt,"men,shirt,new",TRUE,Colour,Blue Jungle,,,,,KQ-jungle-print-shirt-blue-jungle,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,Jungle Print Shirt | Kaftan Queens,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/05de4u7f_image1.jpeg,g,,,active
jungle-print-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/05de4u7f_image1.jpeg,1,Jungle Print Shirt - Blue Jungle,,,,,,,,
jungle-print-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/464iwadb_image0.jpeg,2,Jungle Print Shirt - Blue Jungle,,,,,,,,
goa-mens-shirt,Goa Men's Shirt,"<p>Our classic Goa smock shirt. Cotton block-printed in Rajasthan, with each piece stamped by artisans using wooden blocks. Buttons to the chest for an easy pull-on fit.</p><ul><li>Material: 100% Cotton</li><li>Origin: Block printed in Rajasthan, India</li><li>Sizing: Arm length 56 cm &middot; Chest 62 cm</li><li>Care: Machine wash at 30&deg;C. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Shirt,"men,shirt,hand-printed",TRUE,Colour,Pink Flower,,,,,KQ-goa-mens-shirt-pink-flower,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,Goa Men's Shirt | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortapinkflowerXL_6f8d6913-8162-4644-a49a-fefaa9bd45d0.jpg?v=1761750376&width=1200,g,,,active
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortapinkflowerXL_6f8d6913-8162-4644-a49a-fefaa9bd45d0.jpg?v=1761750376&width=1200,1,Goa Men's Shirt - Pink Flower,,,,,,,,
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortapinkflowerXL2.jpg?v=1761750376&width=1200,2,Goa Men's Shirt - Pink Flower,,,,,,,,
goa-mens-shirt,,,,,,,,Colour,Blue Pattern,,,,,KQ-goa-mens-shirt-blue-pattern,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortaBluepatternXL_c96fa810-81a5-488c-a292-0575104080e6.jpg?v=1761750376&width=1200,g,,,
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortaBluepatternXL_c96fa810-81a5-488c-a292-0575104080e6.jpg?v=1761750376&width=1200,3,Goa Men's Shirt - Blue Pattern,,,,,,,,
